tname              qname             
186l_N4B_A_400     2wdq_HEM_G_1129   
3drw_AMP_B_1485    186l_N4B_A_400    
186l_N4B_A_400     3mcq_1PE_A_328    
186l_N4B_A_400     3rop_50A_A_301    
187l_PXY_A_400     1bqp_MAN_C_402    
2bb6_B12_B_0       187l_PXY_A_400    
187l_PXY_A_400     2ilp_GB5_B_600    
187l_PXY_A_400     2vw5_BC6_C_500    
187l_PXY_A_400     3tfu_PL8_A_501    
188l_OXE_A_400     1acj_THA_A_999    
2aaq_AUP_A_601     188l_OXE_A_400    
188l_OXE_A_400     2c1l_TLA_A_1363   
2gnk_ATP_A_200     188l_OXE_A_400    
2nnv_M29_A_301     188l_OXE_A_400    
188l_OXE_A_400     3a9g_TRE_A_2002   
3ko6_SME_B_181     188l_OXE_A_400    
3p0m_4SB_A_351     188l_OXE_A_400    
1cmp_DMI_A_295     18gs_GDN_B_210    
18gs_GDN_B_210     2wjh_GDP_A_200    
2wsa_646_A_1423    18gs_GDN_B_210    
18gs_GDN_B_210     3rt3_SIN_B_161    
1unh_IXM_A_1288    19hc_HEM_B_304    
2pj0_922_A_401     19hc_HEM_B_304    
19hc_HEM_B_304     2we5_ADP_B_1311   
3aty_FMN_B_500     19hc_HEM_B_304    
1a05_IPM_A_401     1t9b_P22_A_1702   
1a05_IPM_A_401     2zoq_5ID_A_382    
3ctq_337_A_1       1a05_IPM_A_401    
1y6f_PEG_B_801     1a0g_PMP_A_285    
1a0g_PMP_A_285     2a19_ANP_B_1640   
2vlc_AS5_B_1552    1a0g_PMP_A_285    
3k3l_MCK_C_179     1a0g_PMP_A_285    
1a0i_ATP_A_1       1pym_OXL_B_1002   
3f18_HS5_A_0       1a0i_ATP_A_1      
1a0j_BEN_A_246     2bpy_3IN_B_902    
3rqx_B4P_A_278     1a0j_BEN_A_246    
3qmw_PG4_B_1       1a0q_HEP_H_214    
1a0q_HEP_H_214     3stw_2TD_B_266    
1a0t_SUC_P_1       1kf6_1PE_A_705    
3g49_3G4_D_2007    1a0t_SUC_P_1      
2jk6_FAD_B_1490    1a16_LEU_A_442    
1a16_LEU_A_442     3ec2_ADP_A_222    
1a16_LEU_A_442     3o7u_PEG_A_438    
3q3b_55E_A_421     1a16_LEU_A_442    
1a25_PSE_B_1       1ry0_PG2_A_2325   
1a25_PSE_B_1       2xix_XIX_A_1307   
1a25_PSE_B_1       3b8r_887_B_202    
2gsm_TRD_D_6007    1a28_STR_A_1      
3q6y_S47_A_5001    1a2n_TET_A_420    
1a3b_T29_H_1       2bzg_SAH_A_1246   
1a3b_T29_H_1       2fms_DUP_A_338    
3pls_ANP_A_1358    1a3b_T29_H_1      
1rpg_MPD_A_127     1a3e_T16_H_1      
1a3e_T16_H_1       1uyi_PUZ_A_1224   
1k1w_GLC_A_660     1a3l_CFC_L_213    
1k2u_TFM_A_1820    1a3l_CFC_L_213    
1kij_NOV_A_400     1a3l_CFC_L_213    
1a3l_CFC_L_213     2x3a_MES_A_1342   
1a3l_CFC_L_213     4a79_P1B_A_601    
2bxk_IMN_A_2001    1a42_BZU_A_555    
1a42_BZU_A_555     2o1s_TDP_A_3001   
3iad_15X_D_901     1a42_BZU_A_555    
1a46_00K_H_372     3sn1_TAR_A_500    
2eek_BEN_A_301     1a49_ATP_A_535    
2jle_I15_A_1546    1a49_ATP_A_535    
2x96_RX3_A_1615    1a49_ATP_A_535    
2bo6_DGY_B_1382    1a4e_HEM_A_503    
3akc_ADP_A_210     1a4e_HEM_A_503    
3cft_5NS_A_1       1a4e_HEM_A_503    
1a4e_HEM_A_503     3g8w_NHE_C_167    
1a4e_HEM_A_503     3ldl_ATP_A_408    
1a4e_HEM_A_503     3nd1_SAH_A_300    
1a4f_HEM_A_150     1gww_GLC_B_1371   
1jqk_SF4_A_700     1a4f_HEM_A_150    
1o61_PLP_B_399     1a4f_HEM_A_150    
1a4f_HEM_A_150     2rjo_GAL_A_368    
1a4f_HEM_A_150     3jqm_PEG_H_163    
2d4w_MPD_A_2001    1a4g_ZMR_B_466    
1a4g_ZMR_B_466     3aek_PMR_D_526    
1a4i_NDP_B_302     3mwn_CYC_B_3003   
1a4i_NDP_B_302     3oig_IMJ_A_301    
1a4k_FRA_B_3083    1way_L02_B_1248   
1a4k_FRA_B_3083    1wtg_3BP_H_2001   
1a4k_FRA_B_3083    2vfr_FAD_A_1418   
1a4k_FRA_B_3083    2zro_ADP_A_500    
1a4k_FRA_B_3083    3itg_FDA_A_2001   
1a4k_FRA_B_3083    3kic_D5M_M_999    
1a4k_FRA_B_3083    3thq_NUP_A_1000   
1a4m_PRH_C_1354    1iri_E4P_D_604    
1a4m_PRH_C_1354    2cw9_1PE_A_1001   
2fd6_NAG_U_472     1a4m_PRH_C_1354   
1a4q_DPC_A_466     1t0o_GAL_A_901    
1a4q_DPC_A_466     1tpy_16A_A_1901   
1a4q_DPC_A_466     2rk8_PPF_A_3969   
1o7t_HF3_D_1310    1a4r_GNH_B_400    
1a4r_GNH_B_400     3dqt_JI7_A_800    
3oyw_TDG_A_600     1a4r_GNH_B_400    
1a4w_QWE_H_373     1hih_C20_B_101    
1a4w_QWE_H_373     1sqf_SAM_A_430    
2qlq_SR2_A_1345    1a4w_QWE_H_373    
3fzy_IHP_B_8001    1a4w_QWE_H_373    
3r8g_IZP_A_409     1a4w_QWE_H_373    
2fai_459_A_101     1a54_MDC_A_323    
2nm2_NEU_C_322     1a54_MDC_A_323    
3mwl_8OX_B_209     1a54_MDC_A_323    
1a54_MDC_A_323     3ov6_D12_A_1104   
1i79_MHZ_A_368     1a59_CIT_A_379    
2vau_V20_A_1333    1a59_CIT_A_379    
3b47_HEM_A_199     1a59_CIT_A_379    
3h8c_NSZ_B_400     1a59_CIT_A_379    
1a5g_00L_H_372     2vcq_D25_B_1201   
1tl7_ONM_A_100     1a5v_Y3_A_1       
3jqc_JU2_C_270     1a5v_Y3_A_1       
1p0i_BUA_A_606     1a5z_FBP_A_354    
2xpw_MES_A_777     1a5z_FBP_A_354    
1iih_3PG_B_600     1a5z_NAD_A_352    
1a5z_NAD_A_352     1oik_AKG_D_1300   
1a5z_NAD_A_352     3ll3_XUL_A_7778   
3o5r_FK5_A_1001    1a5z_NAD_A_352    
3s42_MLA_B_583     1a5z_NAD_A_352    
1hj8_BAM_A_247     1a5z_OXM_A_355    
1a5z_OXM_A_355     1jg0_DDT_B_306    
2vl8_UDP_C_1543    1a5z_OXM_A_355    
3nri_DH7_A_288     1a5z_OXM_A_355    
1a61_00N_H_372     2i39_MPD_E_502    
3baa_3BA_A_501     1a61_00N_H_372    
1a65_PYE_A_900     1fw1_GSH_A_217    
3pyk_SRX_A_263     1a69_FMB_A_240    
3t8q_MLI_A_370     1a69_FMB_A_240    
1po1_J80_1_0       1a6m_HEM_A_154    
1a6m_HEM_A_154     2hw7_STU_A_31     
1a6m_HEM_A_154     2w15_WR2_A_1204   
1a6m_HEM_A_154     2z93_END_C_1      
1a6v_NPC_J_430     2i6u_CP_C_502     
1a6v_NPC_J_430     3d94_D94_A_1      
3ifs_PGE_B_454     1a6v_NPC_J_430    
1xvb_BHL_A_1206    1a72_PAD_A_378    
1a72_PAD_A_378     2o5s_COH_X_154    
1a78_TDG_B_135     2r09_PE5_A_407    
1a78_TDG_B_135     2wgf_PG4_F_1417   
1a78_TDG_B_135     3ika_0UN_A_1797   
3tql_ARG_A_1       1a78_TDG_B_135    
3tya_78H_A_801     1a78_TDG_B_135    
1a78_TDG_B_135     3up0_D7S_B_200    
1a7a_ADC_A_435     1uum_ORO_B_399    
1yoe_RIB_A_2001    1a7a_ADC_A_435    
1c84_761_A_301     1a7k_NAD_C_363    
1gkp_EPE_D_1463    1a7k_NAD_C_363    
1a7k_NAD_C_363     2cip_ZZ1_A_1285   
1a7k_NAD_C_363     3hrw_HEM_B_200    
1a7t_MES_B_250     1rki_P6G_B_205    
1a7t_MES_B_250     2a2r_GSN_B_2221   
1a7t_MES_B_250     2y03_5FW_B_601    
1a7t_MES_B_250     2z3u_CRR_A_501    
1gzg_LAF_B_1338    1a7x_FKA_B_201    
3ebr_PEG_A_160     1a7x_FKA_B_201    
1a7x_FKA_B_201     3pb9_1BN_X_390    
3csj_CBL_B_211     1a80_NDP_A_300    
3hh5_B24_A_168     1a80_NDP_A_300    
1a82_ATP_A_802     3c6x_PEG_A_1501   
2vj1_BEZ_A_1303    1a85_0DY_A_1      
1a85_0DY_A_1       2vjh_PUB_D_1050   
2e7u_PMP_A_1001    1a86_0ZB_A_1      
1e7a_PFL_B_4001    1a8a_GSE_A_997    
1a8a_GSE_A_997     1r6n_ALQ_A_1113   
1sby_NAD_A_1255    1a8a_GSE_A_997    
3h8g_BES_F_505     1a8a_GSE_A_997    
1a8a_GSE_A_997     3o61_GDD_D_3846   
1iow_ADP_A_310     1a8b_GPE_A_999    
1a8b_GPE_A_999     1jqi_CAA_A_400    
1ksw_NBS_A_1       1a8b_GPE_A_999    
2ya7_ZMR_B_1776    1a8b_GPE_A_999    
1a8b_GPE_A_999     3iew_CTP_B_901    
3iq0_ATP_B_900     1a8b_GPE_A_999    
1z0z_NAD_B_3076    1a8g_2Z4_A_100    
1a8g_2Z4_A_100     2z3t_HEM_A_500    
2z48_A2G_B_2005    1a8g_2Z4_A_100    
1a8g_2Z4_A_100     3jzj_ACR_A_405    
3mbg_FAD_B_300     1a8g_2Z4_A_100    
3quo_ATP_A_1260    1a8g_2Z4_A_100    
1a8g_2Z4_A_100     3s8h_3OH_A_726    
2r46_T3A_B_7066    1a8j_PME_H_217    
1a8p_FAD_A_259     2xyd_3ES_A_1611   
1a8r_GTP_I_409     1o5x_2PG_B_4400   
3b25_B2K_A_1       1a8r_GTP_I_409    
1a8r_GTP_I_409     3k34_SUA_A_1003   
3rme_RME_B_418     1a8r_GTP_I_409    
1a8t_061_A_250     1amu_AMP_B_567    
1a8t_061_A_250     1f9v_ADP_A_999    
1a8t_061_A_250     3mit_MAN_A_803    
3sql_PEG_B_542     1a8t_061_A_250    
1a8u_BEZ_B_294     1jao_0D3_A_1      
3c64_PG4_A_301     1a8u_BEZ_B_294    
3uh9_FCN_A_151     1a8u_BEZ_B_294    
3v0h_I3P_B_3       1a8u_BEZ_B_294    
1k6m_AGS_B_503     1a95_GUN_B_304    
1kdt_DOC_A_5407    1a95_GUN_B_304    
3zv5_BPY_A_1278    1a95_GUN_B_304    
2qa6_KN2_A_1       1a95_PCP_B_301    
1a95_PCP_B_301     2v3d_NBV_A_1503   
3bkr_PLM_A_300     1a95_PCP_B_301    
1a96_XAN_B_304     1c1x_HFA_A_361    
3r51_MMA_A_200     1a96_XAN_B_304    
1a97_5GP_B_305     1n1z_POP_A_901    
2boi_MFU_A_400     1a97_5GP_B_305    
3dga_RJ1_A_609     1a97_5GP_B_305    
1a97_5GP_B_305     3nv6_CAM_A_422    
1a99_PUT_D_371     1o2t_783_A_246    
1pa9_CSN_A_737     1a99_PUT_D_371    
1a99_PUT_D_371     2e8a_ANP_A_601    
2fpz_270_A_1000    1a99_PUT_D_371    
3mcq_PEG_A_322     1a99_PUT_D_371    
1a99_PUT_D_371     3vhe_42Q_A_1170   
1a9p_9DI_A_290     1xf0_ASD_A_600    
1a9q_HPA_A_290     2h3h_BGC_B_1501   
1a9q_HPA_A_290     3ehu_BTB_B_501    
1a9t_R1P_A_291     1x97_FIR_A_1320   
1a9y_UPG_A_341     3r7f_CP_A_802     
1aa1_3PG_H_477     1d4a_FAD_A_601    
1mdl_RMN_A_398     1aa1_3PG_H_477    
1aa1_3PG_H_477     1ros_DEO_B_1      
1yvz_JPC_A_578     1aa1_3PG_H_477    
1aa1_3PG_H_477     3n87_N87_W_147    
2c5g_PGE_A_1548    1aax_BPM_A_323    
2zw5_COA_A_402     1aax_BPM_A_323    
1aax_BPM_A_323     3k92_PEG_A_425    
3pn8_PEG_B_485     1aax_BPM_A_323    
1ab8_FOK_B_2       1sby_ETF_A_1256   
2x8d_X8D_A_1282    1ab8_FOK_B_2      
1ab8_FOK_B_2       3kkg_PEG_A_202    
1ab8_FOK_B_2       3ojf_IMJ_D_802    
3v80_AOC_A_301     1ab8_FOK_B_2      
1ab8_FOK_B_2       4dkl_CLR_A_614    
1inc_ICL_A_260     1aba_MES_A_88     
2whl_MAN_A_1301    1aba_MES_A_88     
3hc5_82X_A_1       1aba_MES_A_88     
4de9_VTP_A_401     1aba_MES_A_88     
1ac4_TMT_A_296     1fl6_AAH_H_824    
1ac4_TMT_A_296     3l8s_BFF_A_361    
1ac4_TMT_A_296     3vmm_P0D_A_504    
1ac8_TMZ_A_296     2p39_SCR_A_1      
2p53_NNG_A_411     1ac8_TMZ_A_296    
2p8i_CIT_C_118     1ac8_TMZ_A_296    
2zyi_STE_A_500     1ac8_TMZ_A_296    
3s3t_ATP_E_501     1ac8_TMZ_A_296    
1acj_THA_A_999     1kcd_GTK_A_1001   
3s7l_591_A_1       1acj_THA_A_999    
1acl_DME_A_999     3b1p_NOS_A_401    
3fug_2E3_A_1       1acl_DME_A_999    
3tyd_POP_B_702     1acl_DME_A_999    
1aco_TRA_A_755     1ha3_GDP_A_406    
1pzm_5GP_A_301     1aco_TRA_A_755    
1aco_TRA_A_755     2gvf_NHN_A_999    
1aco_TRA_A_755     2uy5_H35_A_1313   
1aco_TRA_A_755     3m11_AKI_A_1      
3nc9_TR3_B_300     1aco_TRA_A_755    
3ooz_ZOO_A_1       1aco_TRA_A_755    
1rq5_CTT_A_820     1ad2_MRD_A_700    
2y03_5FW_B_601     1ad2_MRD_A_700    
1r3n_BIB_D_4502    1ad3_NAD_A_600    
1zoe_K25_A_501     1ad3_NAD_A_600    
1ad3_NAD_A_600     3bli_PYR_A_1005   
3pci_IHB_R_550     1ad3_NAD_A_600    
1ad4_HH2_A_271     1o0d_163_H_248    
1ad5_ANP_A_1       2r9j_NCA_A_692    
3h9o_9BD_A_1       1ad8_MDL_H_250    
3ik9_BOB_E_505     1ad8_MDL_H_250    
1ad8_MDL_H_250     3rf1_LMR_B_288    
43ca_NPO_G_924     1ad8_MDL_H_250    
2xey_YVQ_A_1270    1adb_CND_B_377    
3eai_328_B_2905    1adb_CND_B_377    
1add_1DA_A_353     1rb0_HH2_A_181    
2fgl_XYS_B_705     1add_1DA_A_353    
1add_1DA_A_353     2q1d_DO4_X_897    
2qnv_CDZ_A_1       1add_1DA_A_353    
2uwl_895_A_1245    1add_1DA_A_353    
1add_1DA_A_353     2x20_CHL_M_601    
1add_1DA_A_353     3e3u_NVC_A_201    
1add_1DA_A_353     3u0f_07L_A_411    
1adf_TAD_A_378     3i7d_PEG_B_164    
1adf_TAD_A_378     3pcf_FHB_Q_550    
2fpy_ILF_A_407     1adg_SAD_A_378    
2hx4_4HX_B_799     1adg_SAD_A_378    
1adj_HIS_C_423     2iyo_6PG_A_1471   
2zmk_GAL_A_401     1adj_HIS_C_423    
3gf0_POP_A_277     1adj_HIS_C_423    
3o0j_3OJ_A_485     1adj_HIS_C_423    
1adl_ACD_A_135     1pax_DHQ_A_200    
1adl_ACD_A_135     2j47_GDV_A_1590   
1adl_ACD_A_135     3ha5_SFG_A_302    
3k5i_AIR_C_402     1adl_ACD_A_135    
1adl_ACD_A_135     3p8z_36A_A_263    
1adl_ACD_A_135     3t9t_IAQ_A_800    
1ady_HAM_C_423     2c91_MES_J_368    
2orj_BM3_C_1       1ae1_NAP_B_274    
2vin_505_A_1247    1ae1_NAP_B_274    
1ae8_AZL_H_600     1fpn_DAO_1_6001   
1ae8_AZL_H_600     1o0o_A2P_B_999    
2xdu_MT0_A_1228    1ae8_AZL_H_600    
4ad5_DMJ_A_501     1ae8_AZL_H_600    
1nj1_5CA_A_512     1aeb_3MT_A_296    
1aeb_3MT_A_296     3a1s_GDP_A_1      
1aeb_3MT_A_296     3f17_HS4_A_0      
1aec_E64_A_219     2fwy_H64_A_1001   
2ivt_AMP_A_3015    1aec_E64_A_219    
2nxe_SAM_B_303     1aec_E64_A_219    
2uxw_FAD_A_700     1aec_E64_A_219    
1bdm_NAX_A_334     1aed_DTI_A_296    
1aed_DTI_A_296     1uxy_FAD_A_401    
3e6c_3C4_C_604     1aed_DTI_A_296    
1aed_DTI_A_296     4e9u_RWY_A_301    
1aee_ANL_A_296     1d4d_FAD_A_600    
1aee_ANL_A_296     3ix8_TX3_A_174    
1aee_ANL_A_296     3kqe_LGM_A_301    
4agw_MES_A_1535    1aee_ANL_A_296    
1aeg_4AP_A_296     1sb8_NAD_A_342    
1aeg_4AP_A_296     2qg0_A94_A_2001   
3f61_ADP_A_340     1aeg_4AP_A_296    
1sn0_T44_C_601     1aeh_24T_A_296    
2v77_EPE_A_1310    1aeh_24T_A_296    
1aeh_24T_A_296     2vnw_M01_A_1351   
1aeh_24T_A_296     3fh8_27P_A_611    
3i2k_DBC_A_591     1aeh_24T_A_296    
1aej_NVI_A_296     1gpk_HUP_A_1540   
2bys_LOB_A_301     1aej_NVI_A_296    
1aej_NVI_A_296     2c96_ATP_A_962    
1aek_IDM_A_296     1jik_545_A_421    
1aek_IDM_A_296     1zw1_TN5_B_501    
2aep_GLC_A_702     1aek_IDM_A_296    
3hw5_AMP_A_257     1aek_IDM_A_296    
3kyq_DPV_A_201     1aek_IDM_A_296    
2piz_606_A_401     1aem_MPI_A_296    
1aen_25T_A_296     3c9t_TPS_B_308    
1xw5_GSH_B_472     1aeo_2AP_A_296    
1aeo_2AP_A_296     3el0_1UN_A_201    
3icz_PB6_A_363     1aeo_2AP_A_296    
1aeo_2AP_A_296     3pa8_IHP_B_256    
1aeo_2AP_A_296     5nul_FMN_A_139    
1nff_NAD_A_1300    1aeq_2EZ_A_296    
1aeq_2EZ_A_296     1pp9_HEC_D_501    
2agw_TSS_D_3001    1aeq_2EZ_A_296    
1aeq_2EZ_A_296     2oc8_HU5_A_999    
1aeq_2EZ_A_296     2wks_CB6_E_1154   
3hs5_COH_B_619     1aeq_2EZ_A_296    
1aeq_2EZ_A_296     3mhl_J71_A_265    
1aer_AMP_B_701     2azr_982_A_301    
1aer_AMP_B_701     2kce_D16_A_566    
3pk2_4IR_A_400     1aer_AMP_B_701    
1aer_AMP_B_701     4fab_MPD_H_219    
1aer_TIA_B_700     2iu8_PLM_C_1351   
3dgr_A12_B_501     1aer_TIA_B_700    
3ves_APC_A_602     1aer_TIA_B_700    
1aet_1MZ_A_296     3s7z_SUC_B_302    
1kll_MC_A_9138     1aeu_2MZ_A_296    
1nl6_750_B_501     1aeu_2MZ_A_296    
1fsg_9DG_C_304     1aev_AMT_A_296    
1aev_AMT_A_296     1iig_3PP_B_600    
2j1g_SC2_F_1290    1aev_AMT_A_296    
1aev_AMT_A_296     3bjq_PG4_F_316    
3ijd_C2F_A_314     1aev_AMT_A_296    
1aev_AMT_A_296     3l9t_EPE_A_207    
4a14_ADP_A_1345    1aev_AMT_A_296    
1d1g_NDP_B_170     1af4_DIO_A_343    
1af4_DIO_A_343     1oke_BOG_A_1400   
1af4_DIO_A_343     1s3z_RIO_B_501    
2bhl_BG6_A_1510    1af4_DIO_A_343    
3uoy_NAP_B_552     1af4_DIO_A_343    
1e22_ACP_A_512     1af6_FRU_C_423    
3apv_TP0_B_190     1af6_FRU_C_423    
3tdd_BFO_K_999     1af6_FRU_C_423    
1af7_SAH_A_287     1f4e_TPR_A_301    
1af7_SAH_A_287     2ve3_HEM_A_1444   
3kn3_CIT_C_261     1af7_SAH_A_287    
1q97_ATP_A_485     1afa_MBG_1_1      
3ber_PGE_A_401     1afa_MBG_1_1      
3n58_ADN_C_500     1afa_MBG_1_1      
3nys_PLP_A_368     1afa_MBG_1_1      
1afa_MBG_1_1       3ozc_4CT_A_284    
3stv_3HO_A_301     1afa_MBG_1_1      
1dg5_TOP_A_201     1afb_NGA_1_1      
1afb_NGA_1_1       1hg3_3PP_E_1226   
1afb_NGA_1_1       1mmq_RRS_A_269    
2cu9_PG0_A_1203    1afb_NGA_1_1      
1afb_NGA_1_1       3e6l_A11_A_906    
1afb_NGA_1_1       3l5t_956_A_123    
1afb_NGA_1_1       4dwv_PFB_B_378    
3dgb_MUC_A_1001    1afe_ALZ_H_600    
4air_FGA_A_1331    1afe_ALZ_H_600    
2fuq_RAM_A_773     1afk_PAP_B_125    
2q6c_HR1_B_3001    1afk_PAP_B_125    
1afk_PAP_B_125     3rxk_SZ8_A_8      
1afl_ATR_A_125     2ay8_4TB_B_414    
1afl_ATR_A_125     3gy2_BRN_A_1      
3ojn_P6G_A_366     1afl_ATR_A_125    
1afl_CIT_A_999     2fes_3SP_H_1      
2izs_BRQ_A_1334    1afl_CIT_A_999    
1to2_CIT_E_452     1afq_0FG_C_301    
1afq_0FG_C_301     1urw_I1P_A_1300   
2air_CP_G_803      1afq_0FG_C_301    
1afq_0FG_C_301     3nww_3NW_A_361    
1afs_NAP_A_324     1v54_HEA_A_515    
1afs_NAP_A_324     1wb4_SXX_B_2086   
1fqb_SOR_A_1000    1afs_TES_B_325    
1jpc_MAN_A_113     1afs_TES_B_325    
1n4g_PYZ_A_600     1afs_TES_B_325    
1afs_TES_B_325     1vlj_NAP_A_800    
3ele_PLP_B_500     1afs_TES_B_325    
3jus_ECN_A_602     1afs_TES_B_325    
1afs_TES_B_325     4e93_GUI_A_901    
1afw_MRD_A_501     2rdk_MAN_A_110    
1pw7_RAB_C_647     1ag9_BTB_A_351    
1yro_PG4_C_807     1ag9_BTB_A_351    
1ag9_BTB_A_351     3h4g_NAP_A_2350   
1ag9_BTB_A_351     3qci_NX3_A_2001   
1pov_SPH_1_0       1ag9_FMN_A_177    
3ca2_AMS_A_265     1agr_CIT_A_358    
3eq8_X98_A_711     1agr_CIT_A_358    
1h7h_CDP_B_1242    1agw_SU2_B_1000   
2z1m_GDP_D_1102    1agw_SU2_B_1000   
1ah0_SBI_A_320     1qax_NAD_B_1001   
1ah0_SBI_A_320     1yi0_1SM_A_695    
1ah0_SBI_A_320     2xtm_GDP_A_1228   
3e7t_B14_A_906     1ah0_SBI_A_320    
3g5s_GSH_A_445     1ah0_SBI_A_320    
3oq1_3OQ_D_293     1ah0_SBI_A_320    
1ah0_SBI_A_320     4e1b_TXA_A_2002   
1juv_NDP_A_194     1ah3_TOL_A_320    
2vo0_M03_A_1354    1ah3_TOL_A_320    
2vt3_ATP_B_302     1ah3_TOL_A_320    
1ah3_TOL_A_320     3lu8_IQX_B_586    
1ah4_NAP_A_318     3e5p_2PE_C_401    
1ahb_FMP_A_339     1r1n_CNF_F_400    
1ahb_FMP_A_339     2xsh_DC5_E_900    
2e41_BTX_A_1301    1ahf_IOP_A_411    
1aht_APA_H_401     1frw_GTP_A_198    
1aht_APA_H_401     1jqy_A32_M_104    
1aht_APA_H_401     1re5_CIT_C_800    
1aht_APA_H_401     1yqd_NAP_A_500    
2vwi_ANP_B_1295    1aht_APA_H_401    
2vx5_BMA_A_1420    1aht_APA_H_401    
1ahu_FAA_A_600     3eb9_FLC_B_3209   
3q94_13P_A_321     1ahu_FAA_A_600    
1e24_ATP_A_512     1ai2_ICA_A_418    
1ai2_ICA_A_418     1pt9_TAP_A_300    
1ai2_ICA_A_418     2je6_1PE_A_1276   
2cvd_GSH_C_2003    1ai3_NDO_A_417    
2xdq_SF4_A_602     1ai3_NDO_A_417    
1ai3_NDO_A_417     2xrh_NIO_A_200    
3fsy_MPD_A_340     1ai3_NDO_A_417    
1ai3_NDO_A_417     3nv4_BGC_A_502    
1ai4_DHY_B_559     1s2i_BP1_B_2245   
2vla_PG6_A_1281    1ai4_DHY_B_559    
3szg_AMP_A_681     1ai4_DHY_B_559    
1ai4_DHY_B_559     3t83_SG5_A_300    
4a31_2CB_A_1423    1ai4_DHY_B_559    
1ai5_MNP_B_559     1uyi_PUZ_A_1224   
1zy5_ANP_B_304     1ai5_MNP_B_559    
1ai5_MNP_B_559     2abj_CBC_J_4401   
3dq0_MZO_A_601     1ai5_MNP_B_559    
1ai6_4HP_B_559     2fvv_IHP_A_2360   
1ai6_4HP_B_559     3bg3_PYR_B_2000   
3ix9_NDP_A_193     1ai6_4HP_B_559    
1ai7_IPH_B_559     1fg3_HSA_A_501    
2h1t_MPD_B_194     1ai7_IPH_B_559    
1ai7_IPH_B_559     2p95_ME5_A_1      
1ai7_IPH_B_559     3azs_MAN_B_401    
1ai8_T42_H_2       1wor_RED_A_900    
2ffq_GSP_A_355     1ai8_T42_H_2      
1aib_AKG_A_412     1lfo_BEO_A_130    
2rk8_PPF_A_3969    1aib_AKG_A_412    
1aib_AKG_A_412     3d2k_AK4_A_1      
1all_CYC_A_175     1aix_T19_H_3      
1aix_T19_H_3       3hti_MGR_A_201    
1aj0_PH2_A_559     2ds1_1CD_A_501    
